Datum,Tid (UTC),Lufttemperatur,Kvalitet
2021-01-23,06:00:00,4.9,G
2021-01-23,18:00:00,2.3,G
2021-01-24,06:00:00,0.7,G
2021-01-24,18:00:00,-0.9,G
2021-01-25,06:00:00,0.2,G
2021-01-25,18:00:00,-1.5,G
2021-01-26,06:00:00,-3.1,G
2021-01-26,18:00:00,-2.7,G
2021-01-27,06:00:00,-3.7,G
2021-01-27,18:00:00,-5.5,G
2021-01-28,06:00:00,-5.6,G
2021-01-28,18:00:00,-1.5,G
2021-01-29,06:00:00,-4.0,G
2021-01-29,18:00:00,-3.9,G
2021-01-30,06:00:00,-7.3,G
2021-01-30,18:00:00,-9.4,G
2021-01-31,06:00:00,-10.6,G
2021-01-31,18:00:00,-7.3,G
2021-02-01,06:00:00,-8.9,G
2021-02-01,18:00:00,-4.1,G
2021-02-02,06:00:00,-3.0,G
2021-02-02,18:00:00,-2.4,G
2021-02-03,06:00:00,-6.0,G
2021-02-03,18:00:00,-7.1,G
2021-02-04,06:00:00,-9.1,G
2021-02-04,18:00:00,-8.3,G
2021-02-05,06:00:00,-8.9,G
2021-02-05,18:00:00,-7.5,G
2021-02-06,06:00:00,-9.0,G
2021-02-06,18:00:00,-6.8,G
2021-02-07,06:00:00,-9.6,G
2021-02-07,18:00:00,-6.8,G
2021-02-08,06:00:00,-9.4,G
2021-02-08,18:00:00,-6.6,G
2021-02-09,06:00:00,-7.8,G
2021-02-09,18:00:00,-8.5,G
2021-02-10,06:00:00,-11.7,G
2021-02-10,18:00:00,-6.7,G
2021-02-11,06:00:00,-11.8,G
2021-02-11,18:00:00,-8.9,G
2021-02-12,06:00:00,-10.7,G
2021-02-12,18:00:00,-3.6,G
2021-02-13,06:00:00,-8.5,G
2021-02-13,18:00:00,-2.5,G
2021-02-14,06:00:00,-4.1,G
2021-02-14,18:00:00,-1.3,G
2021-02-15,06:00:00,-4.5,G
2021-02-15,18:00:00,-3.9,G
2021-02-16,06:00:00,-5.4,G
2021-02-16,18:00:00,-2.7,G
2021-02-17,06:00:00,-3.3,G
2021-02-17,18:00:00,-3.9,G
2021-02-18,06:00:00,-3.9,G
2021-02-18,18:00:00,-1.9,G
2021-02-19,06:00:00,0.2,G
2021-02-19,18:00:00,1.8,G
2021-02-20,06:00:00,2.2,G
2021-02-20,18:00:00,4.2,G
2021-02-21,06:00:00,4.0,G
2021-02-21,18:00:00,5.5,G
2021-02-22,06:00:00,4.6,G
2021-02-22,18:00:00,2.2,G
2021-02-23,06:00:00,2.4,G
2021-02-23,18:00:00,4.1,G
2021-02-24,06:00:00,3.5,G
2021-02-24,18:00:00,9.5,G
2021-02-25,06:00:00,8.9,G
2021-02-25,18:00:00,9.4,G
2021-02-26,06:00:00,4.3,G
2021-02-26,18:00:00,8.2,G
2021-02-27,06:00:00,1.4,G
