,Hours,SE1,SE2,SE3,SE4,SE
03-01-2020,22 - 23,1081,1873,10717,2941,16612
03-01-2020,23 - 00,1087,1950,10300,2790,16127
04-01-2020,00 - 01,1076,1888,9964,2766,15694
04-01-2020,01 - 02,1129,1885,9796,2669,15479
04-01-2020,02 - 03,1177,1866,9725,2638,15406
04-01-2020,03 - 04,1193,1897,9783,2638,15511
04-01-2020,04 - 05,1239,1906,9854,2661,15660
04-01-2020,05 - 06,1069,1948,9997,2714,15728
04-01-2020,06 - 07,991,2046,10221,2822,16080
04-01-2020,07 - 08,995,2038,10608,2958,16599
04-01-2020,08 - 09,1126,2117,10981,3115,17339
04-01-2020,09 - 10,1229,2142,11334,3218,17923
04-01-2020,10 - 11,1262,2175,11539,3401,18377
04-01-2020,11 - 12,1270,2080,11543,3329,18222
04-01-2020,12 - 13,1239,2121,11538,3234,18132
04-01-2020,13 - 14,1220,2097,11501,3194,18012
04-01-2020,14 - 15,1191,2127,11572,3161,18051
04-01-2020,15 - 16,1205,2100,11894,3304,18503
04-01-2020,16 - 17,1096,2250,12359,3474,19179
04-01-2020,17 - 18,1209,2220,12593,3560,19582
04-01-2020,18 - 19,1282,2157,12530,3475,19444
04-01-2020,19 - 20,1313,2190,12484,3382,19369
04-01-2020,20 - 21,1197,2152,12055,3286,18690
04-01-2020,21 - 22,1235,2118,11683,3189,18225
04-01-2020,22 - 23,1108,2225,11265,3065,17663
04-01-2020,23 - 00,1228,2116,10883,3012,17239
05-01-2020,00 - 01,1223,2111,10507,2922,16763
05-01-2020,01 - 02,1135,1976,10215,2820,16146
05-01-2020,02 - 03,1128,2115,10019,2781,16043
05-01-2020,03 - 04,1166,2061,10108,2712,16047
05-01-2020,04 - 05,1138,1936,10243,2742,16059
05-01-2020,05 - 06,1256,2022,10451,2803,16532
05-01-2020,06 - 07,1381,2073,10726,2853,17033
05-01-2020,07 - 08,1410,2136,11245,2969,17760
05-01-2020,08 - 09,1374,2056,11573,3166,18169
05-01-2020,09 - 10,1409,2263,12007,3321,19000
05-01-2020,10 - 11,1209,2280,11990,3433,18912
05-01-2020,11 - 12,1208,2066,11992,3408,18674
05-01-2020,12 - 13,1299,1882,12097,3308,18586
05-01-2020,13 - 14,1363,1919,12028,3283,18593
05-01-2020,14 - 15,1319,1982,12106,3274,18681
05-01-2020,15 - 16,1162,2186,12302,3346,18996
05-01-2020,16 - 17,1110,2195,12490,3495,19290
05-01-2020,17 - 18,1194,2206,12583,3519,19502
05-01-2020,18 - 19,1186,2220,12368,3518,19292
05-01-2020,19 - 20,1212,2096,12120,3442,18870
05-01-2020,20 - 21,1206,1906,11669,3263,18044
05-01-2020,21 - 22,1179,2026,11113,3076,17394
05-01-2020,22 - 23,1125,1903,10614,2946,16588
05-01-2020,23 - 00,1113,1978,10055,2799,15945
06-01-2020,00 - 01,1194,1860,9801,2710,15565
06-01-2020,01 - 02,1230,1714,9379,2654,14977
06-01-2020,02 - 03,1195,1558,9156,2594,14503
06-01-2020,03 - 04,1179,1522,9100,2565,14366
06-01-2020,04 - 05,1144,1522,9118,2585,14369
06-01-2020,05 - 06,1081,1618,9342,2679,14720
06-01-2020,06 - 07,1183,1764,9732,2778,15457
06-01-2020,07 - 08,1183,1891,10213,2918,16205
06-01-2020,08 - 09,1188,2015,10727,3017,16947
06-01-2020,09 - 10,1350,2023,11006,3108,17487
06-01-2020,10 - 11,1364,1866,11280,3242,17752
06-01-2020,11 - 12,1279,2070,11502,3335,18186
06-01-2020,12 - 13,1277,1976,11501,3362,18116
06-01-2020,13 - 14,1273,1842,11499,3319,17933
06-01-2020,14 - 15,1262,1894,11584,3293,18033
06-01-2020,15 - 16,1283,2256,11886,3324,18749
06-01-2020,16 - 17,1482,2431,11988,3441,19342
06-01-2020,17 - 18,1571,2355,11978,3468,19372
06-01-2020,18 - 19,1320,2066,11778,3419,18583
06-01-2020,19 - 20,1130,1902,11509,3293,17834
06-01-2020,20 - 21,1029,2018,11235,3174,17456
06-01-2020,21 - 22,1101,1995,10792,3076,16964
06-01-2020,22 - 23,1240,1665,10175,2894,15974
06-01-2020,23 - 00,1356,1744,9709,2718,15527
07-01-2020,00 - 01,1235,1800,9330,2645,15010
07-01-2020,01 - 02,1126,1641,9138,2581,14486
07-01-2020,02 - 03,1105,1661,9074,2562,14402
07-01-2020,03 - 04,943,1713,9088,2603,14347
07-01-2020,04 - 05,990,1619,9267,2646,14522
07-01-2020,05 - 06,1332,1786,9843,2854,15815
07-01-2020,06 - 07,1486,1796,11007,3275,17564
07-01-2020,07 - 08,1363,2024,12074,3646,19107
07-01-2020,08 - 09,1377,2073,12603,3749,19802
07-01-2020,09 - 10,1280,2067,12570,3775,19692
07-01-2020,10 - 11,1257,2088,12722,3820,19887
07-01-2020,11 - 12,1264,2139,12706,3858,19967
07-01-2020,12 - 13,1282,2387,12669,3840,20178
07-01-2020,13 - 14,1318,2334,12749,3826,20227
07-01-2020,14 - 15,1342,1987,12740,3806,19875
07-01-2020,15 - 16,1268,1899,12846,3807,19820
07-01-2020,16 - 17,1206,2088,12956,3740,19990
07-01-2020,17 - 18,1163,1933,12936,3701,19733
07-01-2020,18 - 19,1061,1883,12688,3706,19338
07-01-2020,19 - 20,1047,2026,12288,3570,18931
07-01-2020,20 - 21,1060,1945,11889,3422,18316
07-01-2020,21 - 22,1055,1859,11361,3205,17480
07-01-2020,22 - 23,1038,1825,10710,3023,16596
07-01-2020,23 - 00,1089,1867,10098,2864,15918
08-01-2020,00 - 01,1234,1783,9813,2819,15649
08-01-2020,01 - 02,1207,1726,9600,2778,15311
08-01-2020,02 - 03,1200,1796,9442,2734,15172
08-01-2020,03 - 04,1112,1811,9578,2738,15239
08-01-2020,04 - 05,1107,1761,9635,2761,15264
08-01-2020,05 - 06,1061,1705,9995,2904,15665
08-01-2020,06 - 07,1222,1835,11124,3311,17492
08-01-2020,07 - 08,1196,1984,12224,3697,19101
08-01-2020,08 - 09,1314,2216,12441,3806,19777
08-01-2020,09 - 10,1281,2249,12326,3740,19596
08-01-2020,10 - 11,1298,2250,12257,3776,19581
08-01-2020,11 - 12,1286,2188,12225,3717,19416
08-01-2020,12 - 13,1164,2119,12206,3627,19116
08-01-2020,13 - 14,1150,2242,12208,3587,19187
08-01-2020,14 - 15,1197,2121,12292,3565,19175
08-01-2020,15 - 16,1345,2127,12627,3568,19667
08-01-2020,16 - 17,1390,2189,12886,3676,20141
08-01-2020,17 - 18,1174,2172,13125,3752,20223
08-01-2020,18 - 19,1141,2058,12992,3736,19927
08-01-2020,19 - 20,1213,1928,12656,3673,19470
08-01-2020,20 - 21,1042,2010,12168,3445,18665
08-01-2020,21 - 22,1093,2040,11628,3272,18033
08-01-2020,22 - 23,1133,2063,10932,3086,17214
08-01-2020,23 - 00,1118,1944,10337,2906,16305
09-01-2020,00 - 01,1095,1815,10006,2842,15758
09-01-2020,01 - 02,1083,1781,9732,2819,15415
09-01-2020,02 - 03,1104,1838,9704,2827,15473
09-01-2020,03 - 04,1074,1858,9707,2846,15485
09-01-2020,04 - 05,1110,1782,9860,2934,15686
09-01-2020,05 - 06,1109,1890,10471,3174,16644
09-01-2020,06 - 07,1178,2153,11668,3524,18523
09-01-2020,07 - 08,1259,2225,12782,3888,20154
09-01-2020,08 - 09,1291,2309,13235,3941,20776
09-01-2020,09 - 10,1370,2326,13025,3791,20512
09-01-2020,10 - 11,1388,2320,12987,3794,20489
09-01-2020,11 - 12,1356,2155,12811,3818,20140
09-01-2020,12 - 13,1308,2160,12753,3796,20017
09-01-2020,13 - 14,1375,2310,12835,3810,20330
09-01-2020,14 - 15,1352,2316,12980,3823,20471
09-01-2020,15 - 16,1339,2240,13328,3855,20762
09-01-2020,16 - 17,1219,2192,13369,3811,20591
09-01-2020,17 - 18,1246,2135,13521,3768,20670
09-01-2020,18 - 19,1228,2104,13295,3683,20310
09-01-2020,19 - 20,1274,2033,13017,3590,19914
09-01-2020,20 - 21,1231,1937,12570,3473,19211
09-01-2020,21 - 22,1239,1894,11958,3278,18369
09-01-2020,22 - 23,1275,1806,11336,2992,17409
09-01-2020,23 - 00,1192,1514,10677,2737,16120
10-01-2020,00 - 01,1226,1572,10314,2634,15746
10-01-2020,01 - 02,1079,1642,10061,2585,15367
10-01-2020,02 - 03,1097,1674,9952,2541,15264
10-01-2020,03 - 04,1141,1749,9924,2516,15330
10-01-2020,04 - 05,1220,1708,10089,2568,15585
10-01-2020,05 - 06,1268,1859,10664,2747,16538
10-01-2020,06 - 07,1279,1988,11986,3162,18415
10-01-2020,07 - 08,1181,2153,13062,3582,19978
10-01-2020,08 - 09,1264,2243,13249,3665,20421
10-01-2020,09 - 10,1262,2185,13264,3615,20326
10-01-2020,10 - 11,1399,2274,13449,3655,20777
10-01-2020,11 - 12,1416,2265,13321,3701,20703
10-01-2020,12 - 13,1418,2297,13186,3634,20535
10-01-2020,13 - 14,1347,2013,12962,3594,19916
10-01-2020,14 - 15,1341,1988,12986,3545,19860
10-01-2020,15 - 16,1302,2177,13243,3606,20328
10-01-2020,16 - 17,1240,2188,13448,3667,20543
10-01-2020,17 - 18,1105,2179,13506,3658,20448
10-01-2020,18 - 19,1321,2131,13306,3576,20334
10-01-2020,19 - 20,1275,2106,13065,3518,19964
10-01-2020,20 - 21,1166,2074,12673,3399,19312
10-01-2020,21 - 22,1129,2130,12344,3329,18932
10-01-2020,22 - 23,1303,2209,11809,3174,18495
10-01-2020,23 - 00,1123,2050,11387,3010,17570
11-01-2020,00 - 01,1046,2155,11088,2817,17106
11-01-2020,01 - 02,1179,2039,10857,2766,16841
11-01-2020,02 - 03,1137,1581,10640,2748,16106
11-01-2020,03 - 04,982,1583,10555,2737,15857
11-01-2020,04 - 05,973,1689,10536,2715,15913
11-01-2020,05 - 06,1157,1714,10568,2697,16136
11-01-2020,06 - 07,1078,1875,10927,2769,16649
11-01-2020,07 - 08,1009,1929,11375,2922,17235
11-01-2020,08 - 09,1177,2077,11753,3078,18085
11-01-2020,09 - 10,1082,2075,12021,3203,18381
11-01-2020,10 - 11,1087,2131,12342,3263,18823
11-01-2020,11 - 12,1359,2168,12414,3227,19168
11-01-2020,12 - 13,1323,2034,12360,3174,18891
11-01-2020,13 - 14,1188,1999,12282,3176,18645
11-01-2020,14 - 15,1211,1884,12255,3192,18542
11-01-2020,15 - 16,1364,1959,12401,3257,18981
11-01-2020,16 - 17,1375,1944,12512,3418,19249
11-01-2020,17 - 18,1227,2004,12452,3509,19192
11-01-2020,18 - 19,1267,1832,12181,3455,18735
11-01-2020,19 - 20,1302,1733,11764,3324,18123
11-01-2020,20 - 21,1293,1616,11281,3184,17374
11-01-2020,21 - 22,1125,1613,10764,3063,16565
11-01-2020,22 - 23,1197,1537,10270,2945,15949
11-01-2020,23 - 00,1188,1569,9791,2812,15360
12-01-2020,00 - 01,1165,1446,9334,2732,14677
12-01-2020,01 - 02,1151,1531,9128,2625,14435
12-01-2020,02 - 03,1189,1557,9013,2576,14335
12-01-2020,03 - 04,1196,1326,8990,2580,14092
12-01-2020,04 - 05,1159,1433,8906,2579,14077
12-01-2020,05 - 06,1166,1577,8955,2590,14288
12-01-2020,06 - 07,1175,1740,9171,2671,14757
12-01-2020,07 - 08,1167,1755,9500,2769,15191
12-01-2020,08 - 09,1147,1836,9775,2893,15651
12-01-2020,09 - 10,1001,1625,10035,2983,15644
12-01-2020,10 - 11,1116,1615,10342,3053,16126
12-01-2020,11 - 12,1145,1657,10570,3077,16449
12-01-2020,12 - 13,1215,1615,10798,3129,16757
12-01-2020,13 - 14,1155,1679,10813,3139,16786
12-01-2020,14 - 15,1112,1801,10912,3188,17013
12-01-2020,15 - 16,1208,2008,11353,3241,17810
12-01-2020,16 - 17,1228,1833,11829,3431,18321
12-01-2020,17 - 18,1358,2018,12164,3439,18979
12-01-2020,18 - 19,1371,2088,11997,3373,18829
12-01-2020,19 - 20,1297,1958,11768,3314,18337
12-01-2020,20 - 21,1352,1808,11621,3304,18085
12-01-2020,21 - 22,1257,1772,11096,3188,17313
12-01-2020,22 - 23,1102,1625,10522,3021,16270
12-01-2020,23 - 00,1158,1592,10168,2819,15737
13-01-2020,00 - 01,1198,1751,9848,2556,15353
13-01-2020,01 - 02,1223,1703,9747,2516,15189
13-01-2020,02 - 03,1235,1845,9741,2540,15361
13-01-2020,03 - 04,1092,1845,9830,2570,15337
13-01-2020,04 - 05,1162,1978,10047,2605,15792
13-01-2020,05 - 06,1437,1780,10636,2820,16673
13-01-2020,06 - 07,1354,2020,12020,3253,18647
13-01-2020,07 - 08,1274,2136,13097,3678,20185
13-01-2020,08 - 09,1276,2103,13379,3788,20546
13-01-2020,09 - 10,1156,2177,13195,3708,20236
13-01-2020,10 - 11,1294,2330,13262,3798,20684
13-01-2020,11 - 12,1321,2331,13033,3779,20464
13-01-2020,12 - 13,1336,2227,12898,3689,20150
13-01-2020,13 - 14,1341,2315,12993,3711,20360
13-01-2020,14 - 15,1302,2276,13039,3708,20325
13-01-2020,15 - 16,1398,2218,13243,3793,20652
13-01-2020,16 - 17,1405,2180,13511,3867,20963
13-01-2020,17 - 18,1393,2308,13498,3923,21122
13-01-2020,18 - 19,1307,2173,13219,3794,20493
13-01-2020,19 - 20,1272,1948,12970,3672,19862
13-01-2020,20 - 21,1311,1969,12493,3548,19321
13-01-2020,21 - 22,1337,1899,11987,3382,18605
13-01-2020,22 - 23,1220,1923,11185,3158,17486
13-01-2020,23 - 00,1192,2099,10580,2930,16801
14-01-2020,00 - 01,1143,1869,10147,2783,15942
14-01-2020,01 - 02,1118,1822,9885,2653,15478
14-01-2020,02 - 03,1041,1980,9871,2641,15533
14-01-2020,03 - 04,1151,1881,9879,2650,15561
14-01-2020,04 - 05,1404,1899,10012,2668,15983
14-01-2020,05 - 06,1261,2033,10578,2916,16788
14-01-2020,06 - 07,1305,2251,11688,3355,18599
14-01-2020,07 - 08,1308,2171,12730,3758,19967
14-01-2020,08 - 09,1211,2304,12918,3856,20289
14-01-2020,09 - 10,1142,2395,12862,3815,20214
14-01-2020,10 - 11,1207,2444,12926,3874,20451
14-01-2020,11 - 12,1246,2288,12931,3895,20360
14-01-2020,12 - 13,1284,2269,12863,3819,20235
14-01-2020,13 - 14,1228,2230,12702,3833,19993
14-01-2020,14 - 15,1268,2115,12475,3797,19655
14-01-2020,15 - 16,1286,2216,12713,3858,20073
14-01-2020,16 - 17,1292,2247,12983,3984,20506
14-01-2020,17 - 18,1360,2281,13210,3960,20811
14-01-2020,18 - 19,1301,1954,12960,3839,20054
14-01-2020,19 - 20,1275,1878,12653,3629,19435
14-01-2020,20 - 21,1296,2036,12202,3391,18925
14-01-2020,21 - 22,1130,1987,11596,3226,17939
14-01-2020,22 - 23,958,1962,10962,2996,16878
14-01-2020,23 - 00,1051,1805,10445,2771,16072
15-01-2020,00 - 01,1150,2068,9778,2653,15649
15-01-2020,01 - 02,1124,1984,9422,2623,15153
15-01-2020,02 - 03,1123,1927,9395,2595,15040
15-01-2020,03 - 04,1160,1768,9476,2583,14987
15-01-2020,04 - 05,1178,1740,9475,2614,15007
15-01-2020,05 - 06,1153,1964,9871,2772,15760
15-01-2020,06 - 07,1241,1939,10915,3173,17268
15-01-2020,07 - 08,1291,2174,11987,3593,19045
15-01-2020,08 - 09,1323,2241,12210,3672,19446
15-01-2020,09 - 10,1413,2401,12139,3623,19576
15-01-2020,10 - 11,1371,2405,12227,3672,19675
15-01-2020,11 - 12,1353,2157,12155,3680,19345
15-01-2020,12 - 13,1415,2187,12148,3646,19396
15-01-2020,13 - 14,1441,2100,12009,3631,19181
15-01-2020,14 - 15,1467,2098,12037,3637,19239
15-01-2020,15 - 16,1502,2199,12323,3713,19737
15-01-2020,16 - 17,1474,2102,12632,3797,20005
15-01-2020,17 - 18,1419,2153,12774,3872,20218
15-01-2020,18 - 19,1347,2060,12611,3681,19699
15-01-2020,19 - 20,1389,1813,12253,3477,18932
15-01-2020,20 - 21,1388,1778,11768,3466,18400
15-01-2020,21 - 22,1390,1925,11272,3362,17949
15-01-2020,22 - 23,1269,1986,10496,3231,16982
15-01-2020,23 - 00,1268,1899,9822,3027,16016
16-01-2020,00 - 01,1160,1907,9533,2830,15430
16-01-2020,01 - 02,1157,1777,9335,2629,14898
16-01-2020,02 - 03,1283,1869,9306,2542,15000
16-01-2020,03 - 04,1297,1812,9284,2668,15061
16-01-2020,04 - 05,1301,1678,9464,2727,15170
16-01-2020,05 - 06,1348,1798,9975,2917,16038
16-01-2020,06 - 07,1438,2074,11136,3274,17922
16-01-2020,07 - 08,1417,2267,12317,3664,19665
16-01-2020,08 - 09,1402,2176,12512,3787,19877
16-01-2020,09 - 10,1437,2189,12359,3732,19717
16-01-2020,10 - 11,1374,2092,12408,3764,19638
16-01-2020,11 - 12,1378,1919,12506,3687,19490
16-01-2020,12 - 13,1389,2022,12324,3590,19325
16-01-2020,13 - 14,1420,2050,12271,3608,19349
16-01-2020,14 - 15,1433,2002,12303,3669,19407
16-01-2020,15 - 16,1488,2122,12327,3682,19619
16-01-2020,16 - 17,1474,2029,12828,3788,20119
16-01-2020,17 - 18,1485,2035,12893,3891,20304
16-01-2020,18 - 19,1465,2053,12666,3827,20011
16-01-2020,19 - 20,1329,2117,12460,3650,19556
16-01-2020,20 - 21,1187,2104,12063,3551,18905
16-01-2020,21 - 22,1300,2095,11444,3391,18230
16-01-2020,22 - 23,1251,2081,10824,3217,17373
16-01-2020,23 - 00,1195,2005,10209,3116,16525
17-01-2020,00 - 01,1251,1837,9806,2894,15788
17-01-2020,01 - 02,1240,1828,9483,2823,15374
17-01-2020,02 - 03,1243,1863,9481,2786,15373
17-01-2020,03 - 04,1234,1826,9515,2846,15421
17-01-2020,04 - 05,1326,1832,9550,2899,15607
17-01-2020,05 - 06,1267,2017,10102,3016,16402
17-01-2020,06 - 07,1500,2142,11447,3427,18516
17-01-2020,07 - 08,1452,2370,12576,3755,20153
17-01-2020,08 - 09,1524,2312,12797,3829,20462
17-01-2020,09 - 10,1632,2187,12644,3808,20271
17-01-2020,10 - 11,1465,2333,12649,3812,20259
17-01-2020,11 - 12,1498,2342,12527,3759,20126
17-01-2020,12 - 13,1457,2262,12428,3632,19779
17-01-2020,13 - 14,1595,2239,12268,3518,19620
17-01-2020,14 - 15,1573,2510,12319,3411,19813
17-01-2020,15 - 16,1561,2611,12351,3445,19968
17-01-2020,16 - 17,1489,2489,12749,3501,20228
17-01-2020,17 - 18,1504,2416,12929,3618,20467
17-01-2020,18 - 19,1453,2357,12493,3543,19846
17-01-2020,19 - 20,1412,2303,12022,3418,19155
17-01-2020,20 - 21,1418,2226,11491,3327,18462
17-01-2020,21 - 22,1372,2092,10901,3175,17540
17-01-2020,22 - 23,1266,2005,10578,3003,16852
17-01-2020,23 - 00,1288,2014,10190,2844,16336
18-01-2020,00 - 01,1306,2041,9856,2659,15862
18-01-2020,01 - 02,1281,1878,9533,2628,15320
18-01-2020,02 - 03,1286,1904,9342,2577,15109
18-01-2020,03 - 04,1243,1828,9253,2515,14839
18-01-2020,04 - 05,1281,1831,9176,2433,14721
18-01-2020,05 - 06,1317,1842,9284,2423,14866
18-01-2020,06 - 07,1314,2065,9505,2579,15463
18-01-2020,07 - 08,1363,2116,9871,2699,16049
18-01-2020,08 - 09,1358,2164,10411,2803,16736
18-01-2020,09 - 10,1357,2229,10962,2898,17446
18-01-2020,10 - 11,1437,2238,11215,2999,17889
18-01-2020,11 - 12,1330,2151,11347,3042,17870
18-01-2020,12 - 13,1357,2174,11353,3079,17963
18-01-2020,13 - 14,1326,2158,11289,3048,17821
18-01-2020,14 - 15,1395,2178,11353,3033,17959
18-01-2020,15 - 16,1397,2309,11375,3065,18146
18-01-2020,16 - 17,1360,2437,11755,3182,18734
18-01-2020,17 - 18,1365,2365,11848,3265,18843
18-01-2020,18 - 19,1244,2327,11683,3187,18441
18-01-2020,19 - 20,1288,2180,11211,3080,17759
18-01-2020,20 - 21,1297,2000,10849,2980,17126
18-01-2020,21 - 22,1274,1774,10504,2871,16423
18-01-2020,22 - 23,1268,1830,10133,2786,16017
18-01-2020,23 - 00,1176,1971,9874,2706,15727
19-01-2020,00 - 01,1207,1836,9493,2661,15197
19-01-2020,01 - 02,1132,1900,9402,2557,14991
19-01-2020,02 - 03,1234,1765,9284,2514,14797
19-01-2020,03 - 04,1204,1722,9251,2581,14758
19-01-2020,04 - 05,1265,1738,9383,2619,15005
19-01-2020,05 - 06,1188,1650,9534,2711,15083
19-01-2020,06 - 07,1231,1733,9946,2814,15724
19-01-2020,07 - 08,1321,1733,10320,2891,16265
19-01-2020,08 - 09,1376,1894,10872,2954,17096
19-01-2020,09 - 10,1451,2023,11241,3110,17825
19-01-2020,10 - 11,1439,2083,11467,3149,18138
19-01-2020,11 - 12,1481,2131,11514,3186,18312
19-01-2020,12 - 13,1489,2068,11433,3162,18152
19-01-2020,13 - 14,1373,2076,11369,3096,17914
19-01-2020,14 - 15,1400,2107,11436,3083,18026
19-01-2020,15 - 16,1488,2263,11816,3128,18695
19-01-2020,16 - 17,1581,2185,12358,3274,19398
19-01-2020,17 - 18,1440,2076,12683,3420,19619
19-01-2020,18 - 19,1405,2095,12761,3388,19649
19-01-2020,19 - 20,1464,2039,12661,3280,19444
19-01-2020,20 - 21,1337,1936,12327,3295,18895
19-01-2020,21 - 22,1323,2075,11835,3245,18478
19-01-2020,22 - 23,1160,2313,11269,3082,17824
19-01-2020,23 - 00,1192,2177,10770,2968,17107
20-01-2020,00 - 01,1209,1784,10418,2861,16272
20-01-2020,01 - 02,1121,1516,10296,2739,15672
20-01-2020,02 - 03,1070,1641,10275,2740,15726
20-01-2020,03 - 04,1066,1723,10149,2769,15707
20-01-2020,04 - 05,1115,1601,10303,2835,15854
20-01-2020,05 - 06,1210,1625,10709,3002,16546
20-01-2020,06 - 07,1259,1924,11986,3334,18503
20-01-2020,07 - 08,1397,2185,13273,3729,20584
20-01-2020,08 - 09,1362,2172,13371,3749,20654
20-01-2020,09 - 10,1404,2226,13188,3766,20584
20-01-2020,10 - 11,1368,2250,13149,3837,20604
20-01-2020,11 - 12,1304,2168,13065,3825,20362
20-01-2020,12 - 13,1272,2184,12894,3745,20095
20-01-2020,13 - 14,1295,2308,12741,3676,20020
20-01-2020,14 - 15,1093,2327,12589,3651,19660
20-01-2020,15 - 16,1115,2283,12758,3730,19886
20-01-2020,16 - 17,1218,2245,13091,3826,20380
20-01-2020,17 - 18,1229,2146,13170,3853,20398
20-01-2020,18 - 19,1185,2033,12943,3732,19893
20-01-2020,19 - 20,1092,2056,12586,3633,19367
20-01-2020,20 - 21,1201,2011,12185,3467,18864
20-01-2020,21 - 22,1098,1913,11608,3265,17884
20-01-2020,22 - 23,1095,1725,10905,3108,16833
20-01-2020,23 - 00,1089,1699,10188,2929,15905
21-01-2020,00 - 01,1046,1711,9707,2820,15284
21-01-2020,01 - 02,1104,1728,9326,2708,14866
21-01-2020,02 - 03,1324,1769,9203,2640,14936
21-01-2020,03 - 04,1178,1777,9157,2633,14745
21-01-2020,04 - 05,1224,1747,9264,2672,14907
21-01-2020,05 - 06,1267,1864,9849,2856,15836
21-01-2020,06 - 07,1336,2122,11092,3240,17790
21-01-2020,07 - 08,1315,2322,12130,3659,19426
21-01-2020,08 - 09,1418,2253,12310,3745,19726
21-01-2020,09 - 10,1350,2291,12456,3720,19817
21-01-2020,10 - 11,1411,2321,12407,3746,19885
21-01-2020,11 - 12,1214,2260,12309,3758,19541
21-01-2020,12 - 13,1376,2111,11987,3717,19191
21-01-2020,13 - 14,1282,2122,11812,3664,18880
21-01-2020,14 - 15,1267,2185,11896,3650,18998
21-01-2020,15 - 16,1275,2271,12193,3647,19386
21-01-2020,16 - 17,1365,2256,12558,3743,19922
21-01-2020,17 - 18,1408,2194,12849,3817,20268
