,Hours,SE1,SE2,SE3,SE4,SE
01-01-2020,00 - 01,969,1806,9518,2664,14957
01-01-2020,01 - 02,1139,1785,9350,2586,14860
01-01-2020,02 - 03,1106,1808,9158,2523,14595
01-01-2020,03 - 04,996,1724,8980,2504,14204
01-01-2020,04 - 05,1173,1692,8914,2484,14263
01-01-2020,05 - 06,1079,1731,8964,2483,14257
01-01-2020,06 - 07,892,1820,9160,2581,14453
01-01-2020,07 - 08,980,1855,9451,2602,14888
01-01-2020,08 - 09,1103,1941,9661,2622,15327
01-01-2020,09 - 10,1087,2023,9726,2666,15502
01-01-2020,10 - 11,1195,1989,10050,2738,15972
01-01-2020,11 - 12,1278,1954,10347,2821,16400
01-01-2020,12 - 13,1179,1878,10592,2891,16540
01-01-2020,13 - 14,1195,1965,10637,2937,16734
01-01-2020,14 - 15,1169,1927,10811,2972,16879
01-01-2020,15 - 16,1157,2065,11104,3065,17391
01-01-2020,16 - 17,1213,2131,11446,3253,18043
01-01-2020,17 - 18,1168,2092,11526,3354,18140
01-01-2020,18 - 19,1136,1942,11371,3283,17732
01-01-2020,19 - 20,1101,1938,11174,3212,17425
01-01-2020,20 - 21,1107,1968,10723,3147,16945
01-01-2020,21 - 22,1172,1927,10269,3052,16420
01-01-2020,22 - 23,1145,1815,9783,2893,15636
01-01-2020,23 - 00,1071,1756,9394,2842,15063
02-01-2020,00 - 01,1113,1725,9064,2647,14549
02-01-2020,01 - 02,1037,1707,8885,2668,14297
02-01-2020,02 - 03,1059,1710,8765,2699,14233
02-01-2020,03 - 04,1028,1933,8738,2706,14405
02-01-2020,04 - 05,1054,1933,8832,2736,14555
02-01-2020,05 - 06,1182,1815,9229,2878,15104
02-01-2020,06 - 07,1105,1919,10116,3177,16317
02-01-2020,07 - 08,928,1934,10787,3398,17047
02-01-2020,08 - 09,1054,1933,11305,3503,17795
02-01-2020,09 - 10,1121,1930,11473,3571,18095
02-01-2020,10 - 11,1100,1955,11644,3614,18313
02-01-2020,11 - 12,1083,1979,11741,3712,18515
02-01-2020,12 - 13,1064,1985,11813,3747,18609
02-01-2020,13 - 14,1109,1902,11833,3788,18632
02-01-2020,14 - 15,1066,1966,11890,3796,18718
02-01-2020,15 - 16,1173,2055,12243,3815,19286
02-01-2020,16 - 17,1100,2052,12453,3908,19513
02-01-2020,17 - 18,1089,2031,12515,3927,19562
02-01-2020,18 - 19,1042,2097,12132,3845,19116
02-01-2020,19 - 20,1024,2013,11839,3687,18563
02-01-2020,20 - 21,994,1987,11458,3469,17908
02-01-2020,21 - 22,1076,1851,10937,3294,17158
02-01-2020,22 - 23,1105,1779,10321,3154,16359
02-01-2020,23 - 00,919,1739,9879,2983,15520
03-01-2020,00 - 01,1048,1776,9489,2915,15228
03-01-2020,01 - 02,997,1805,9246,2853,14901
03-01-2020,02 - 03,990,1803,9173,2899,14865
03-01-2020,03 - 04,1012,1706,9090,2887,14695
03-01-2020,04 - 05,1006,1791,9157,2818,14772
03-01-2020,05 - 06,1133,1887,9427,2886,15333
03-01-2020,06 - 07,1105,1836,10130,3077,16148
03-01-2020,07 - 08,1137,2053,10930,3313,17433
03-01-2020,08 - 09,1115,2097,11412,3483,18107
03-01-2020,09 - 10,1133,2125,11485,3513,18256
03-01-2020,10 - 11,1152,2049,11719,3607,18527
03-01-2020,11 - 12,1060,1989,11828,3622,18499
03-01-2020,12 - 13,1082,2262,11695,3616,18655
03-01-2020,13 - 14,1127,2418,11618,3615,18778
03-01-2020,14 - 15,1144,2273,11702,3551,18670
03-01-2020,15 - 16,1091,2208,12165,3729,19193
03-01-2020,16 - 17,1204,2192,12490,3857,19743
03-01-2020,17 - 18,1144,2226,12489,3782,19641
03-01-2020,18 - 19,1125,2151,12333,3672,19281
03-01-2020,19 - 20,1154,2070,12093,3518,18835
03-01-2020,20 - 21,1101,1993,11603,3339,18036
03-01-2020,21 - 22,1122,1986,11099,3150,17357
