,Hours,SE1,SE2,SE3,SE4,SE
06-01-2021,04 - 05,1255,2415,11130,3083,17883
06-01-2021,05 - 06,1119,2476,11275,3131,18001
06-01-2021,06 - 07,1112,2631,11755,3264,18762
06-01-2021,07 - 08,1240,2679,12139,3379,19437
06-01-2021,08 - 09,1526,2807,12558,3466,20357
06-01-2021,09 - 10,1641,2836,12852,3549,20878
06-01-2021,10 - 11,1527,2825,13186,3577,21115
06-01-2021,11 - 12,1347,2785,13413,3655,21200
06-01-2021,12 - 13,1314,2785,13515,3701,21315
06-01-2021,13 - 14,1374,2827,13482,3715,21398
06-01-2021,14 - 15,1463,2734,13549,3737,21483
06-01-2021,15 - 16,1577,2834,13864,3801,22076
06-01-2021,16 - 17,1583,2688,14122,3920,22313
06-01-2021,17 - 18,1562,2728,14240,3937,22467
06-01-2021,18 - 19,1505,2722,13981,3852,22060
06-01-2021,19 - 20,1475,2672,13631,3732,21510
06-01-2021,20 - 21,1483,2702,13156,3639,20980
06-01-2021,21 - 22,1517,2688,12664,3473,20342
06-01-2021,22 - 23,1444,2623,12145,3330,19542
06-01-2021,23 - 00,1429,2610,11719,3251,19009
07-01-2021,00 - 01,1349,2329,11336,3137,18151
07-01-2021,01 - 02,1355,2432,11218,3079,18084
07-01-2021,02 - 03,1311,2421,11114,3062,17908
07-01-2021,03 - 04,1368,2448,11096,3068,17980
07-01-2021,04 - 05,1262,2483,11166,3080,17991
07-01-2021,05 - 06,1355,2520,11549,3236,18660
07-01-2021,06 - 07,1388,2839,12651,3523,20401
07-01-2021,07 - 08,1459,2840,13509,3808,21616
07-01-2021,08 - 09,1462,2857,13906,3951,22176
07-01-2021,09 - 10,1459,2926,13982,3990,22357
07-01-2021,10 - 11,1455,2911,14046,4077,22489
07-01-2021,11 - 12,1459,2840,14114,4090,22503
07-01-2021,12 - 13,1495,2821,14199,4062,22577
07-01-2021,13 - 14,1540,2791,14140,4065,22536
07-01-2021,14 - 15,1526,2785,14097,3968,22376
07-01-2021,15 - 16,1484,2707,14240,3980,22411
07-01-2021,16 - 17,1513,2707,14356,4049,22625
07-01-2021,17 - 18,1506,2710,14350,4062,22628
07-01-2021,18 - 19,1433,2586,14051,4028,22098
07-01-2021,19 - 20,1421,2563,13714,3900,21598
07-01-2021,20 - 21,1392,2554,13268,3728,20942
07-01-2021,21 - 22,1403,2477,12756,3627,20263
07-01-2021,22 - 23,1310,2418,12177,3444,19349
07-01-2021,23 - 00,1289,2286,11599,3290,18464
08-01-2021,00 - 01,1299,2065,11010,3200,17574
08-01-2021,01 - 02,1300,2174,10743,3103,17320
08-01-2021,02 - 03,1278,2246,10686,3096,17306
08-01-2021,03 - 04,1278,2242,10661,3101,17282
08-01-2021,04 - 05,1289,2298,10828,3111,17526
08-01-2021,05 - 06,1281,2387,11202,3231,18101
08-01-2021,06 - 07,1322,2554,12160,3499,19535
08-01-2021,07 - 08,1374,2515,13034,3822,20745
08-01-2021,08 - 09,1423,2556,13379,3941,21299
08-01-2021,09 - 10,1427,2586,13456,3975,21444
08-01-2021,10 - 11,1408,2505,13631,4057,21601
08-01-2021,11 - 12,1418,2536,13666,4064,21684
08-01-2021,12 - 13,1422,2536,13736,4028,21722
08-01-2021,13 - 14,1398,2531,13553,3960,21442
08-01-2021,14 - 15,1395,2445,13482,3913,21235
08-01-2021,15 - 16,1418,2528,13584,3869,21399
08-01-2021,16 - 17,1398,2531,13805,3880,21614
08-01-2021,17 - 18,1403,2410,13826,3883,21522
08-01-2021,18 - 19,1358,2325,13588,3784,21055
08-01-2021,19 - 20,1358,2302,13145,3706,20511
08-01-2021,20 - 21,1358,2300,12724,3564,19946
08-01-2021,21 - 22,1282,2286,12149,3366,19083
08-01-2021,22 - 23,1259,2178,11670,3213,18320
08-01-2021,23 - 00,1185,2120,11317,3121,17743
09-01-2021,00 - 01,1293,2081,11051,2981,17406
09-01-2021,01 - 02,1287,2024,10715,2945,16971
09-01-2021,02 - 03,1287,2105,10568,2887,16847
09-01-2021,03 - 04,1273,2100,10502,2876,16751
09-01-2021,04 - 05,1287,2064,10503,2917,16771
09-01-2021,05 - 06,1299,2116,10677,2924,17016
09-01-2021,06 - 07,1314,2159,11030,3057,17560
09-01-2021,07 - 08,1317,2203,11337,3222,18079
09-01-2021,08 - 09,1397,2213,11642,3357,18609
09-01-2021,09 - 10,1415,2179,12027,3429,19050
09-01-2021,10 - 11,1459,2168,12426,3504,19557
09-01-2021,11 - 12,1484,2163,12541,3526,19714
09-01-2021,12 - 13,1430,2122,12581,3496,19629
09-01-2021,13 - 14,1411,2048,12481,3441,19381
09-01-2021,14 - 15,1432,2025,12442,3420,19319
09-01-2021,15 - 16,1468,2052,12736,3510,19766
09-01-2021,16 - 17,1437,1986,13204,3693,20320
09-01-2021,17 - 18,1448,1954,13477,3758,20637
09-01-2021,18 - 19,1432,1959,13450,3731,20572
09-01-2021,19 - 20,1429,1909,13117,3624,20079
09-01-2021,20 - 21,1301,1945,12661,3501,19408
09-01-2021,21 - 22,1318,1829,12334,3404,18885
09-01-2021,22 - 23,1316,1836,11974,3284,18410
09-01-2021,23 - 00,1296,1847,11613,3173,17929
10-01-2021,00 - 01,1243,1748,11191,3076,17258
10-01-2021,01 - 02,1236,1820,11037,2994,17087
10-01-2021,02 - 03,1179,1847,10879,2955,16860
10-01-2021,03 - 04,1216,1879,10687,2919,16701
10-01-2021,04 - 05,1321,1957,10675,2923,16876
10-01-2021,05 - 06,1423,1985,10593,2956,16957
10-01-2021,06 - 07,1442,2201,10899,3045,17587
10-01-2021,07 - 08,1268,2194,11159,3152,17773
10-01-2021,08 - 09,1364,2282,11523,3230,18399
10-01-2021,09 - 10,1394,2155,11812,3317,18678
10-01-2021,10 - 11,1243,2140,12133,3358,18874
10-01-2021,11 - 12,1337,2237,12400,3404,19378
10-01-2021,12 - 13,1308,2283,12508,3455,19554
10-01-2021,13 - 14,1402,2253,12619,3539,19813
10-01-2021,14 - 15,1372,2262,12714,3571,19919
10-01-2021,15 - 16,1372,2301,12883,3671,20227
10-01-2021,16 - 17,1534,2328,13348,3780,20990
10-01-2021,17 - 18,1538,2346,13515,3803,21202
10-01-2021,18 - 19,1565,2388,13433,3786,21172
10-01-2021,19 - 20,1478,2341,13152,3711,20682
10-01-2021,20 - 21,1394,2484,12836,3617,20331
10-01-2021,21 - 22,1356,2518,12419,3461,19754
10-01-2021,22 - 23,1347,2393,11966,3326,19032
10-01-2021,23 - 00,1345,2392,11478,3173,18388
11-01-2021,00 - 01,1350,2298,11108,3081,17837
11-01-2021,01 - 02,1384,2219,10959,3059,17621
11-01-2021,02 - 03,1312,2152,10850,3036,17350
11-01-2021,03 - 04,1302,2068,10858,3011,17239
11-01-2021,04 - 05,1267,2047,11024,3082,17420
11-01-2021,05 - 06,1267,2107,11452,3308,18134
11-01-2021,06 - 07,1343,2539,12630,3680,20192
11-01-2021,07 - 08,1521,2651,13656,4082,21910
11-01-2021,08 - 09,1538,2461,14134,4190,22323
11-01-2021,09 - 10,1456,2101,14065,4158,21780
11-01-2021,10 - 11,1505,2282,14166,4151,22104
11-01-2021,11 - 12,1538,2512,14163,4128,22341
11-01-2021,12 - 13,1572,2659,14113,4110,22454
11-01-2021,13 - 14,1511,2730,13827,4045,22113
11-01-2021,14 - 15,1503,2637,13780,4075,21995
11-01-2021,15 - 16,1489,2743,14099,4061,22392
11-01-2021,16 - 17,1504,2773,14245,4129,22651
11-01-2021,17 - 18,1573,2729,14370,4128,22800
11-01-2021,18 - 19,1521,2521,13865,4040,21947
11-01-2021,19 - 20,1456,2645,13499,3917,21517
11-01-2021,20 - 21,1496,2423,13088,3742,20749
11-01-2021,21 - 22,1547,2358,12633,3528,20066
11-01-2021,22 - 23,1578,2157,12089,3298,19122
11-01-2021,23 - 00,1578,2003,11407,3109,18097
12-01-2021,00 - 01,1356,1993,11188,3032,17569
12-01-2021,01 - 02,1285,2228,11039,2988,17540
12-01-2021,02 - 03,1352,2421,10973,2935,17681
12-01-2021,03 - 04,1432,2446,11062,2916,17856
12-01-2021,04 - 05,1512,2280,11269,3016,18077
12-01-2021,05 - 06,1510,2332,11956,3210,19008
12-01-2021,06 - 07,1402,2585,13248,3560,20795
12-01-2021,07 - 08,1489,2672,14208,3923,22292
12-01-2021,08 - 09,1559,2528,14561,4040,22688
12-01-2021,09 - 10,1493,2427,14599,4017,22536
12-01-2021,10 - 11,1599,2452,14567,4010,22628
12-01-2021,11 - 12,1580,2430,14409,3991,22410
12-01-2021,12 - 13,1470,2440,14286,3746,21942
12-01-2021,13 - 14,1577,2408,14203,3835,22023
12-01-2021,14 - 15,1509,2355,14104,3954,21922
12-01-2021,15 - 16,1392,2380,14344,4075,22191
12-01-2021,16 - 17,1373,2506,14783,4061,22723
12-01-2021,17 - 18,1449,2384,14902,4160,22895
12-01-2021,18 - 19,1558,2495,14707,4040,22800
12-01-2021,19 - 20,1482,2574,14318,3832,22206
12-01-2021,20 - 21,1416,2569,14066,3756,21807
12-01-2021,21 - 22,1429,2606,13396,3629,21060
12-01-2021,22 - 23,1383,2538,12869,3488,20278
12-01-2021,23 - 00,1420,2291,12215,3286,19212
13-01-2021,00 - 01,1227,2410,11984,3172,18793
13-01-2021,01 - 02,1380,2126,11799,3164,18469
13-01-2021,02 - 03,1504,2074,11723,3117,18418
13-01-2021,03 - 04,1418,2185,11801,3120,18524
13-01-2021,04 - 05,1479,2238,11986,3173,18876
13-01-2021,05 - 06,1533,2223,12545,3333,19634
13-01-2021,06 - 07,1470,2360,13807,3673,21310
13-01-2021,07 - 08,1447,2421,14905,4074,22847
13-01-2021,08 - 09,1490,2372,15152,4213,23227
13-01-2021,09 - 10,1421,2623,14898,4191,23133
13-01-2021,10 - 11,1637,2477,14844,4245,23203
13-01-2021,11 - 12,1563,2327,14804,4251,22945
13-01-2021,12 - 13,1558,2392,14608,4229,22787
13-01-2021,13 - 14,1501,2480,14479,4238,22698
13-01-2021,14 - 15,1619,2534,14273,4278,22704
13-01-2021,15 - 16,1692,2389,14502,4302,22885
13-01-2021,16 - 17,1691,2529,14821,4372,23413
13-01-2021,17 - 18,1664,2509,14996,4394,23563
13-01-2021,18 - 19,1686,2561,14717,4176,23140
13-01-2021,19 - 20,1618,2602,14377,4066,22663
13-01-2021,20 - 21,1478,2528,13919,3915,21840
13-01-2021,21 - 22,1570,2591,13341,3817,21319
13-01-2021,22 - 23,1596,2644,12761,3587,20588
13-01-2021,23 - 00,1611,2442,12138,3385,19576
14-01-2021,00 - 01,1543,2381,11751,3298,18973
14-01-2021,01 - 02,1630,2179,11552,3235,18596
14-01-2021,02 - 03,1527,2200,11564,3172,18463
14-01-2021,03 - 04,1577,2215,11728,3183,18703
14-01-2021,04 - 05,1573,2251,11929,3262,19015
14-01-2021,05 - 06,1616,2298,12487,3409,19810
14-01-2021,06 - 07,1676,2517,13634,3792,21619
14-01-2021,07 - 08,1714,2667,14898,4152,23431
14-01-2021,08 - 09,1788,2588,15118,4152,23646
14-01-2021,09 - 10,1747,2611,14978,4144,23480
14-01-2021,10 - 11,1675,2715,15059,4173,23622
14-01-2021,11 - 12,1695,2719,15008,4166,23588
14-01-2021,12 - 13,1729,2724,14969,4105,23527
14-01-2021,13 - 14,1748,2834,14802,4084,23468
14-01-2021,14 - 15,1734,2753,14805,4084,23376
14-01-2021,15 - 16,1696,2911,15077,4164,23848
14-01-2021,16 - 17,1576,2935,15444,4236,24191
14-01-2021,17 - 18,1483,3106,15750,4338,24677
14-01-2021,18 - 19,1613,2879,15291,4272,24055
14-01-2021,19 - 20,1563,2858,14987,4162,23570
14-01-2021,20 - 21,1502,2783,14591,4085,22961
14-01-2021,21 - 22,1393,2704,14242,3931,22270
14-01-2021,22 - 23,1461,2691,13667,3739,21558
14-01-2021,23 - 00,1495,2665,13093,3526,20779
15-01-2021,00 - 01,1430,2444,12950,3472,20296
15-01-2021,01 - 02,1571,2352,12759,3348,20030
15-01-2021,02 - 03,1608,2262,12701,3457,20028
15-01-2021,03 - 04,1645,2245,12777,3560,20227
15-01-2021,04 - 05,1550,2311,12915,3591,20367
15-01-2021,05 - 06,1438,2519,13465,3810,21232
15-01-2021,06 - 07,1413,2815,14523,4155,22906
15-01-2021,07 - 08,1405,2686,15650,4533,24274
15-01-2021,08 - 09,1494,2622,16146,4572,24834
15-01-2021,09 - 10,1557,2475,16277,4545,24854
15-01-2021,10 - 11,1553,2553,16138,4547,24791
15-01-2021,11 - 12,1534,2531,16051,4478,24594
15-01-2021,12 - 13,1451,2336,16031,4323,24141
15-01-2021,13 - 14,1427,2197,15600,4209,23433
15-01-2021,14 - 15,1398,2181,15441,4173,23193
15-01-2021,15 - 16,1428,2286,15541,4240,23495
15-01-2021,16 - 17,1508,2341,15887,4388,24124
15-01-2021,17 - 18,1476,2472,15933,4513,24394
15-01-2021,18 - 19,1312,2268,15717,4457,23754
15-01-2021,19 - 20,1399,2140,15118,4309,22966
15-01-2021,20 - 21,1394,2092,14600,4171,22257
15-01-2021,21 - 22,1309,2069,14052,4091,21521
15-01-2021,22 - 23,1217,2088,13607,4020,20932
15-01-2021,23 - 00,1303,2020,13192,3961,20476
16-01-2021,00 - 01,1275,2087,12974,3846,20182
16-01-2021,01 - 02,1374,2070,12726,3761,19931
16-01-2021,02 - 03,1331,2131,12563,3737,19762
16-01-2021,03 - 04,1347,2047,12395,3766,19555
16-01-2021,04 - 05,1417,2233,12419,3794,19863
16-01-2021,05 - 06,1407,2503,12507,3788,20205
16-01-2021,06 - 07,1358,2671,12834,3840,20703
16-01-2021,07 - 08,1373,2786,13256,3902,21317
16-01-2021,08 - 09,1539,2815,13676,3955,21985
16-01-2021,09 - 10,1508,2775,14107,4106,22496
16-01-2021,10 - 11,1550,2750,14256,4150,22706
16-01-2021,11 - 12,1583,2790,14098,4046,22517
16-01-2021,12 - 13,1538,2740,14040,3896,22214
16-01-2021,13 - 14,1494,2677,13890,3799,21860
16-01-2021,14 - 15,1568,2663,13795,3784,21810
16-01-2021,15 - 16,1635,2668,13941,3836,22080
16-01-2021,16 - 17,1723,2775,14405,4036,22939
16-01-2021,17 - 18,1721,2745,14507,4184,23157
16-01-2021,18 - 19,1628,2547,14317,4161,22653
16-01-2021,19 - 20,1550,2355,13975,4029,21909
16-01-2021,20 - 21,1555,2189,13522,3914,21180
16-01-2021,21 - 22,1494,1930,13154,3813,20391
16-01-2021,22 - 23,1504,1694,12683,3685,19566
16-01-2021,23 - 00,1346,1494,12334,3599,18773
17-01-2021,00 - 01,1292,1484,11867,3498,18141
17-01-2021,01 - 02,1283,1584,11684,3419,17970
17-01-2021,02 - 03,1280,1673,11623,3374,17950
17-01-2021,03 - 04,1363,1739,11560,3355,18017
17-01-2021,04 - 05,1396,1730,11518,3360,18004
17-01-2021,05 - 06,1352,1815,11602,3360,18129
17-01-2021,06 - 07,1359,1721,11813,3435,18328
17-01-2021,07 - 08,1405,1866,12116,3521,18908
17-01-2021,08 - 09,1376,1926,12413,3618,19333
17-01-2021,09 - 10,1433,1868,12818,3701,19820
17-01-2021,10 - 11,1400,1996,13043,3797,20236
17-01-2021,11 - 12,1444,2093,13220,3822,20579
17-01-2021,12 - 13,1495,2144,13257,3847,20743
17-01-2021,13 - 14,1516,2176,13326,3793,20811
17-01-2021,14 - 15,1429,2120,13325,3772,20646
17-01-2021,15 - 16,1491,2321,13497,3829,21138
17-01-2021,16 - 17,1564,2341,14049,4013,21967
17-01-2021,17 - 18,1427,2248,14042,4107,21824
17-01-2021,18 - 19,1426,2303,13826,4061,21616
17-01-2021,19 - 20,1464,2370,13520,3983,21337
17-01-2021,20 - 21,1444,2430,13088,3862,20824
17-01-2021,21 - 22,1420,2512,12541,3736,20209
17-01-2021,22 - 23,1527,2423,12179,3583,19712
17-01-2021,23 - 00,1328,2569,11880,3493,19270
18-01-2021,00 - 01,1331,2509,11655,3398,18893
18-01-2021,01 - 02,1406,2284,11443,3359,18492
18-01-2021,02 - 03,1449,2374,11326,3338,18487
18-01-2021,03 - 04,1447,2481,11159,3326,18413
18-01-2021,04 - 05,1444,2556,11454,3407,18861
18-01-2021,05 - 06,1462,2599,12077,3567,19705
18-01-2021,06 - 07,1489,2877,13249,3946,21561
18-01-2021,07 - 08,1592,2897,14265,4298,23052
18-01-2021,08 - 09,1676,2901,14621,4383,23581
18-01-2021,09 - 10,1607,2970,14547,4390,23514
18-01-2021,10 - 11,1709,2858,14610,4412,23589
18-01-2021,11 - 12,1696,2904,14624,4403,23627
18-01-2021,12 - 13,1631,2848,14698,4391,23568
18-01-2021,13 - 14,1606,2869,14591,4353,23419
18-01-2021,14 - 15,1744,2834,14601,4322,23501
18-01-2021,15 - 16,1804,2895,14489,4326,23514
18-01-2021,16 - 17,1731,3083,14776,4406,23996
18-01-2021,17 - 18,1641,3131,14938,4398,24108
18-01-2021,18 - 19,1693,3051,14615,4323,23682
18-01-2021,19 - 20,1599,3019,14180,4204,23002
18-01-2021,20 - 21,1533,2772,13689,3998,21992
18-01-2021,21 - 22,1580,2587,13083,3792,21042
18-01-2021,22 - 23,1438,2568,12425,3606,20037
18-01-2021,23 - 00,1307,2496,11745,3415,18963
19-01-2021,00 - 01,1467,2435,11468,3220,18590
19-01-2021,01 - 02,1537,2548,11211,3158,18454
19-01-2021,02 - 03,1506,2425,10965,3140,18036
19-01-2021,03 - 04,1504,2444,11016,3115,18079
19-01-2021,04 - 05,1528,2505,11128,3151,18312
19-01-2021,05 - 06,1499,2567,11628,3277,18971
19-01-2021,06 - 07,1573,2812,12719,3646,20750
19-01-2021,07 - 08,1703,2877,13771,4031,22382
19-01-2021,08 - 09,1610,2919,14120,4120,22769
19-01-2021,09 - 10,1614,2915,13998,4116,22643
19-01-2021,10 - 11,1617,2958,14041,4155,22771
19-01-2021,11 - 12,1666,2986,14135,4177,22964
19-01-2021,12 - 13,1762,3051,14130,4166,23109
19-01-2021,13 - 14,1654,2979,13986,4119,22738
19-01-2021,14 - 15,1588,2840,14000,4114,22542
19-01-2021,15 - 16,1686,2844,14101,4151,22782
19-01-2021,16 - 17,1767,2806,14460,4274,23307
19-01-2021,17 - 18,1644,2913,14633,4286,23476
19-01-2021,18 - 19,1633,2931,14341,4176,23081
19-01-2021,19 - 20,1649,2813,13831,4037,22330
19-01-2021,20 - 21,1607,2743,13419,3857,21626
19-01-2021,21 - 22,1591,2683,12764,3662,20700
19-01-2021,22 - 23,1552,2645,12164,3529,19890
19-01-2021,23 - 00,1451,2523,11535,3307,18816
20-01-2021,00 - 01,1382,2402,11112,3108,18004
20-01-2021,01 - 02,1447,2555,10953,3025,17980
20-01-2021,02 - 03,1474,2502,10855,2989,17820
20-01-2021,03 - 04,1509,2451,10949,2990,17899
20-01-2021,04 - 05,1524,2595,11092,3032,18243
20-01-2021,05 - 06,1571,2379,11668,3169,18787
20-01-2021,06 - 07,1578,2722,12852,3505,20657
20-01-2021,07 - 08,1617,3074,13966,3832,22489
20-01-2021,08 - 09,1707,2982,14193,3963,22845
20-01-2021,09 - 10,1479,2949,14140,3974,22542
20-01-2021,10 - 11,1572,3146,14320,4014,23052
20-01-2021,11 - 12,1556,3021,14310,4026,22913
20-01-2021,12 - 13,1576,3129,14259,4039,23003
20-01-2021,13 - 14,1556,3133,14087,4074,22850
20-01-2021,14 - 15,1481,3076,14100,4029,22686
20-01-2021,15 - 16,1614,3118,14288,3988,23008
20-01-2021,16 - 17,1630,3225,14559,4018,23432
20-01-2021,17 - 18,1599,3220,14577,4037,23433
20-01-2021,18 - 19,1620,3136,14229,3922,22907
20-01-2021,19 - 20,1528,3082,13714,3785,22109
20-01-2021,20 - 21,1538,2919,13210,3575,21242
20-01-2021,21 - 22,1490,2902,12536,3355,20283
20-01-2021,22 - 23,1538,2702,11776,3101,19117
20-01-2021,23 - 00,1523,2607,11171,2878,18179
21-01-2021,00 - 01,1509,2453,10855,2844,17661
21-01-2021,01 - 02,1525,2564,10601,2821,17511
21-01-2021,02 - 03,1527,2509,10484,2801,17321
21-01-2021,03 - 04,1428,2353,10578,2810,17169
21-01-2021,04 - 05,1393,2509,10649,2826,17377
21-01-2021,05 - 06,1524,2526,10888,2969,17907
21-01-2021,06 - 07,1622,2631,11902,3362,19517
21-01-2021,07 - 08,1649,2693,13288,3786,21416
21-01-2021,08 - 09,1540,2623,13324,3871,21358
21-01-2021,09 - 10,1553,2599,13299,3852,21303
21-01-2021,10 - 11,1497,2670,13393,3805,21365
21-01-2021,11 - 12,1363,2676,13335,3782,21156
21-01-2021,12 - 13,1605,2639,13279,3758,21281
21-01-2021,13 - 14,1676,2372,12941,3687,20676
21-01-2021,14 - 15,1541,2414,12917,3711,20583
21-01-2021,15 - 16,1531,2429,13175,3770,20905
21-01-2021,16 - 17,1540,2556,13573,3857,21526
21-01-2021,17 - 18,1555,2502,13874,3996,21927
