,Hours,SE1,SE2,SE3,SE4,SE
01-01-2021,00 - 01,1165,2147,9614,2752,15678
01-01-2021,01 - 02,1221,2136,9481,2669,15507
01-01-2021,02 - 03,1159,2062,9314,2595,15130
01-01-2021,03 - 04,1116,2060,9197,2544,14917
01-01-2021,04 - 05,1166,2126,9199,2538,15029
01-01-2021,05 - 06,1173,2182,9352,2568,15275
01-01-2021,06 - 07,1246,2203,9588,2666,15703
01-01-2021,07 - 08,1194,2175,9839,2754,15962
01-01-2021,08 - 09,1207,2246,10071,2814,16338
01-01-2021,09 - 10,1301,2351,10242,2871,16765
01-01-2021,10 - 11,1286,2414,10519,2983,17202
01-01-2021,11 - 12,1302,2317,10815,3081,17515
01-01-2021,12 - 13,1295,2239,10921,3130,17585
01-01-2021,13 - 14,1291,2225,11056,3131,17703
01-01-2021,14 - 15,1347,2259,11254,3147,18007
01-01-2021,15 - 16,1326,2294,11581,3209,18410
01-01-2021,16 - 17,1348,2298,11732,3338,18716
01-01-2021,17 - 18,1340,2266,11810,3387,18803
01-01-2021,18 - 19,1319,2249,11689,3328,18585
01-01-2021,19 - 20,1252,2260,11411,3221,18144
01-01-2021,20 - 21,1275,2210,11025,3094,17604
01-01-2021,21 - 22,1293,2132,10651,3003,17079
01-01-2021,22 - 23,1298,2091,10250,2915,16554
01-01-2021,23 - 00,1247,2059,9819,2813,15938
02-01-2021,00 - 01,1162,1969,9563,2706,15400
02-01-2021,01 - 02,1173,1965,9416,2647,15201
02-01-2021,02 - 03,1138,1953,9366,2622,15079
02-01-2021,03 - 04,1126,2006,9350,2610,15092
02-01-2021,04 - 05,1145,2023,9340,2657,15165
02-01-2021,05 - 06,1151,2095,9410,2691,15347
02-01-2021,06 - 07,1177,2077,9612,2744,15610
02-01-2021,07 - 08,1246,2103,9975,2865,16189
02-01-2021,08 - 09,1283,2224,10306,2969,16782
02-01-2021,09 - 10,1396,2251,10689,3079,17415
02-01-2021,10 - 11,1412,2238,11142,3161,17953
02-01-2021,11 - 12,1405,2306,11346,3235,18292
02-01-2021,12 - 13,1354,2268,11453,3256,18331
02-01-2021,13 - 14,1368,2264,11431,3243,18306
02-01-2021,14 - 15,1397,2284,11506,3263,18450
02-01-2021,15 - 16,1488,2414,11853,3289,19044
02-01-2021,16 - 17,1603,2459,12193,3440,19695
02-01-2021,17 - 18,1643,2489,12236,3516,19884
02-01-2021,18 - 19,1561,2498,12060,3494,19613
02-01-2021,19 - 20,1506,2445,11692,3391,19034
02-01-2021,20 - 21,1432,2442,11282,3269,18425
02-01-2021,21 - 22,1379,2433,10898,3160,17870
02-01-2021,22 - 23,1329,2419,10464,3047,17259
02-01-2021,23 - 00,1319,2361,10142,2940,16762
03-01-2021,00 - 01,1318,2359,9890,2890,16457
03-01-2021,01 - 02,1285,2319,9652,2824,16080
03-01-2021,02 - 03,1259,2270,9502,2759,15790
03-01-2021,03 - 04,1360,2135,9424,2720,15639
03-01-2021,04 - 05,1286,2255,9541,2726,15808
03-01-2021,05 - 06,1274,2221,9647,2732,15874
03-01-2021,06 - 07,1292,2337,9858,2839,16326
03-01-2021,07 - 08,1228,2280,10153,2902,16563
03-01-2021,08 - 09,1256,2353,10595,2953,17157
03-01-2021,09 - 10,1323,2436,10967,3028,17754
03-01-2021,10 - 11,1341,2328,11370,3118,18157
03-01-2021,11 - 12,1290,2270,11629,3194,18383
03-01-2021,12 - 13,1321,2214,11683,3169,18387
03-01-2021,13 - 14,1449,2151,11818,3153,18571
03-01-2021,14 - 15,1454,2171,11954,3217,18796
03-01-2021,15 - 16,1441,2151,12248,3348,19188
03-01-2021,16 - 17,1415,2275,12758,3607,20055
03-01-2021,17 - 18,1424,2276,12895,3739,20334
03-01-2021,18 - 19,1389,2179,12709,3691,19968
03-01-2021,19 - 20,1428,2091,12348,3614,19481
03-01-2021,20 - 21,1495,2210,12060,3456,19221
03-01-2021,21 - 22,1450,2153,11658,3352,18613
03-01-2021,22 - 23,1394,1964,11125,3207,17690
03-01-2021,23 - 00,1290,1939,10745,3062,17036
04-01-2021,00 - 01,1212,1961,10483,2919,16575
04-01-2021,01 - 02,1293,1976,10321,2928,16518
04-01-2021,02 - 03,1323,1950,10247,2955,16475
04-01-2021,03 - 04,1396,1956,10195,3002,16549
04-01-2021,04 - 05,1368,2073,10353,3069,16863
04-01-2021,05 - 06,1391,2243,10793,3175,17602
04-01-2021,06 - 07,1420,2432,11775,3455,19082
04-01-2021,07 - 08,1487,2452,12687,3834,20460
04-01-2021,08 - 09,1587,2550,13117,4014,21268
04-01-2021,09 - 10,1551,2581,13244,4004,21380
04-01-2021,10 - 11,1543,2670,13466,4006,21685
04-01-2021,11 - 12,1519,2772,13664,3998,21953
04-01-2021,12 - 13,1512,2739,13754,3968,21973
04-01-2021,13 - 14,1584,2715,13740,3937,21976
04-01-2021,14 - 15,1675,2790,13774,3912,22151
04-01-2021,15 - 16,1625,2876,13946,3962,22409
04-01-2021,16 - 17,1580,2827,14144,4039,22590
04-01-2021,17 - 18,1555,2882,14287,4119,22843
04-01-2021,18 - 19,1516,2766,13939,4068,22289
04-01-2021,19 - 20,1475,2822,13601,3912,21810
04-01-2021,20 - 21,1498,2617,12942,3744,20801
04-01-2021,21 - 22,1508,2549,12281,3601,19939
04-01-2021,22 - 23,1451,2532,11641,3412,19036
04-01-2021,23 - 00,1388,2417,11099,3241,18145
05-01-2021,00 - 01,1378,2242,10816,3089,17525
05-01-2021,01 - 02,1389,2258,10526,3039,17212
05-01-2021,02 - 03,1335,2233,10519,3000,17087
05-01-2021,03 - 04,1367,2258,10536,3007,17168
05-01-2021,04 - 05,1331,2345,10652,3057,17385
05-01-2021,05 - 06,1349,2422,11104,3193,18068
05-01-2021,06 - 07,1438,2581,11979,3538,19536
05-01-2021,07 - 08,1453,2746,12749,3816,20764
05-01-2021,08 - 09,1554,2856,13228,3893,21531
05-01-2021,09 - 10,1555,2774,13431,3975,21735
05-01-2021,10 - 11,1514,2959,13623,3980,22076
05-01-2021,11 - 12,1505,2891,13676,3946,22018
05-01-2021,12 - 13,1490,2787,13734,3932,21943
05-01-2021,13 - 14,1518,2812,13652,3972,21954
05-01-2021,14 - 15,1537,2811,13675,3968,21991
05-01-2021,15 - 16,1543,2833,13844,4001,22221
05-01-2021,16 - 17,1524,2908,14141,4107,22680
05-01-2021,17 - 18,1593,2898,14181,4148,22820
05-01-2021,18 - 19,1428,2839,13976,4075,22318
05-01-2021,19 - 20,1392,2743,13603,3956,21694
05-01-2021,20 - 21,1610,2739,13131,3792,21272
05-01-2021,21 - 22,1646,2641,12532,3570,20389
05-01-2021,22 - 23,1411,2588,12007,3390,19396
05-01-2021,23 - 00,1273,2512,11601,3229,18615
06-01-2021,00 - 01,1403,2457,11230,3096,18186
06-01-2021,01 - 02,1431,2444,11076,3078,18029
06-01-2021,02 - 03,1482,2377,10907,3059,17825
06-01-2021,03 - 04,1433,2370,10958,3041,17802
